species,p_Am,kap,v,p_M,E_G,h_a,E_Hb,E_Hj,E_Hx,E_Hp,family,order,class,phylum,climate,ecozone,habitat,embryo,migrate,food,gender,reprod,ab,ah,aj,ax,ap,am,tg,tb,tj,tx,tp,Wwb,Wwj,Wwx,Wwp,Wwi,Lb,Lj,Lx,Lp,Li,d_V,Ri,T_typical,t_0,model,metamorphosis,weaning,foetus
Alectoris_chukar,7.372403e+02,9.756900e-01,1.226800e-01,1.092574e+02,7.357248e+03,1.447000e-11,1.638000e+03,,,1.673000e+04,Phasianidae,Galliformes,Aves,Chordata,BWk BSh Dsa,THp,0iTf,Tnsf,,bxCi biHs,Dg,O,7.026479e+00,,,,9.798663e+00,2.987358e+02,,,,,2.772184e+00,1.350000e+01,,,,5.360000e+02,,,,,,2.800000e-01,3.580087e-01,3.138500e+02,5.711300e+00,std,False,False,False
Alectoris_graeca,5.270869e+03,9.676100e-01,3.960000e-02,1.712033e+03,7.308671e+03,3.851000e-12,2.066000e+03,,,9.784000e+03,Phasianidae,Galliformes,Aves,Chordata,Csa Dfa Dfb,THp,0iTf,Tnsf,,bxCi biHs,Dg,O,7.474978e+00,,,,8.531048e+00,4.818319e+02,,,,,1.056070e+00,2.720000e+01,,,,5.750000e+02,,,,,,2.800000e-01,3.424431e-01,3.138500e+02,0.000000e+00,std,False,False,False
Alectoris_rufa,3.879999e+03,9.766700e-01,3.558800e-02,1.311601e+03,7.323072e+03,3.384000e-11,6.777000e+02,,,4.751000e+03,Phasianidae,Galliformes,Aves,Chordata,BSk Csa Cfb,THp,0iTf,Tnsf,,bxCi biHs,Dg,O,7.175979e+00,,,,8.496066e+00,2.987358e+02,,,,,1.320087e+00,1.390000e+01,,,,4.300000e+02,,,,,,2.800000e-01,3.580087e-01,3.138500e+02,0.000000e+00,std,False,False,False
Alectura_lathami,3.111787e+02,7.668000e-01,9.766700e-02,2.085950e+01,7.313038e+03,2.982000e-15,1.841000e+05,,1.842000e+05,2.416000e+05,Megapodiidae,Galliformes,Aves,Chordata,Cfa Cfb,TA,0iTf 0iTh,Tl,,biCi biHs,Dg,O,1.330538e+01,,,,3.202933e+01,6.190436e+02,,,,,1.872395e+01,1.200000e+02,,,,2.160000e+03,,,,,,2.800000e-01,4.038488e-01,3.135500e+02,0.000000e+00,std,False,False,False
Alle_alle,9.911631e+03,9.953700e-01,2.649200e-02,6.827502e+03,7.323246e+03,5.151000e-14,3.167000e+02,,,7.881000e+03,Alcidae,Charadriiformes,Aves,Chordata,ME,MAN,xiMcp 0bTd,Tncfm,Ms,biCik,Dg,O,8.670974e+00,,,,1.230121e+01,7.805677e+02,,,,,3.630240e+00,2.150000e+01,,,1.400000e+02,1.635000e+02,,,,,,2.800000e-01,2.075413e-02,3.138500e+02,6.100100e-03,std,False,False,False
Alligator_sinensis,3.062685e+02,8.984100e-01,9.353100e-02,1.100500e+01,7.885915e+03,2.160000e-11,2.097000e+04,,,9.102000e+06,Alligatoridae,Crocodilia,Reptilia,Chordata,Cfa,TPi,0bTd biFm biFp biFp biFr,Tl,,biCv biCi,Dtfm,O,4.234799e+01,,,,1.428109e+03,1.501241e+04,,,,,1.385761e+03,3.000000e+01,,,3.337548e+03,2.390000e+04,2.100000e+01,,,1.010000e+02,1.700000e+02,3.000000e-01,9.030378e-02,2.981500e+02,,std,False,False,False
Alona_iheringula,1.387932e+02,6.458200e-01,1.503300e-02,5.190840e+03,4.444978e+03,7.904000e-06,4.202000e-03,,,3.517000e-02,Chydoridae,Anomopoda,Branchiopoda,Arthropoda,Am,TN,0iFp 0iFl 0iFm,Fbf,,biPp biD,D,Apf,1.006101e+00,,,,3.056268e+00,3.416946e+01,,,,,2.050167e+00,3.097386e-06,,,9.134149e-06,1.720000e-05,2.880000e-02,,,4.130000e-02,5.100000e-02,1.700000e-01,8.802926e-01,2.981500e+02,,std,False,False,False
Alopias_pelagicus,6.022727e+02,5.805300e-01,3.872100e-02,1.131670e+01,5.235351e+03,1.975000e-10,7.560000e+06,,,7.389000e+07,Alopiidae,Lamniformes,Chondrichthyes,Chordata,MA MB,MI MP,0iMp,Mv,Mo,biCic biCvf,D,O,3.570612e+02,,,,2.063020e+03,7.637143e+03,,,,,1.705959e+03,1.157677e+04,,,7.390000e+04,1.373000e+05,8.200000e+01,,,1.475000e+02,1.870000e+02,2.000000e-01,5.041152e-03,2.998500e+02,,std,False,False,False
Alopias_vulpinus,9.718533e+02,6.627600e-01,3.823000e-02,1.855490e+01,5.232035e+03,2.108000e-09,3.350000e+06,,,1.134000e+08,Alopiidae,Lamniformes,Chondrichthyes,Chordata,MA MB,MC,0iMp,Mv,Mo,biCic biCvf,D,O,4.621314e+02,,,,3.724236e+03,6.796051e+03,,,,,3.262104e+03,7.548833e+03,,,1.496000e+05,2.938000e+05,8.100000e+01,,,2.160000e+02,2.745000e+02,2.000000e-01,7.357214e-03,2.963500e+02,,std,False,False,False
Alytes_cisternasii,4.466022e+02,5.012100e-01,1.987800e-02,2.238191e+02,7.342508e+03,7.706000e-10,4.526000e+01,2.958000e+03,,6.167000e+04,Alytidae,Anura,Amphibia,Chordata,BSk Csa,THp,0jFc jiTf jiTg,Fbm,,biCi,Dg,O,3.150000e+01,,1.565000e+02,,7.615000e+02,6.570000e+03,,,1.250000e+02,,7.300000e+02,2.240000e-02,2.752845e-01,,,4.130000e+00,1.300000e+00,3.000000e+00,,,3.858000e+00,2.800000e-01,4.931507e-01,2.881500e+02,,std,False,False,False
Alytes_muletensis,1.659692e+02,7.498100e-01,1.041400e-01,7.784160e+01,7.245745e+03,9.498000e-10,2.839000e+02,7.275000e+03,,2.586000e+04,Alytidae,Anura,Amphibia,Chordata,Csa,THp,0jFc jiTf,Fbm,,biCi,Dg,O,5.057826e+01,,7.265607e+02,,1.222709e+03,1.054918e+04,,,6.759825e+02,,1.172131e+03,1.438000e-01,6.657407e-01,,,5.000000e+00,1.800000e+00,3.000000e+00,,,4.100000e+00,2.800000e-01,1.535664e-02,2.881500e+02,,std,False,False,False
Alytes_obstetricans,8.375646e+01,6.833700e-01,4.091500e-02,3.564370e+01,7.310453e+03,6.992000e-09,8.891000e+01,3.400000e+03,,1.215000e+04,Alytidae,Anura,Amphibia,Chordata,BSk Csa Cfb,THp,0jFc jiTf,Fbm,,biCi,Dg,O,3.150000e+01,,4.525000e+02,,5.790000e+02,2.920000e+03,,,4.210000e+02,,5.475000e+02,3.350000e-02,2.680000e-01,,,5.000000e+00,1.500000e+00,3.000000e+00,,,5.000000e+00,2.800000e-01,1.232877e-01,2.881500e+02,,std,False,False,False
Amandava_subflava,5.787970e+02,9.404100e-01,2.814300e-02,4.517066e+02,7.329134e+03,8.110000e-13,1.105000e+02,,9.243000e+02,2.211000e+03,Estrildidae,Passeriformes,Aves,Chordata,A C,TPa,0iTi 0iTg,Tnpfm,,bxCi biHs,Dg,O,2.653885e+00,,,4.842979e+00,9.221167e+00,5.326795e+02,,,,2.189094e+00,6.567282e+00,6.000000e-01,,,,7.300000e+00,,,,,,2.800000e-01,1.058798e-01,3.147500e+02,,std,False,False,False
Amazona_aestiva,4.509111e+03,9.965600e-01,3.983100e-02,1.551283e+03,7.299555e+03,8.603000e-18,9.930000e+01,,,1.350000e+04,Psittacidae,Psittaciformes,Aves,Chordata,Af Am Cwa Cwb,TN,0iTf 0iTi,Tnwf,,biHs,Dg,O,4.598134e+00,,,,1.403020e+01,2.811543e+03,,,,,9.432070e+00,1.400000e+01,,,,4.510000e+02,,,,,,2.800000e-01,3.485631e-02,3.119500e+02,1.765740e+01,std,False,False,False
Amazona_agilis,8.906697e+02,9.870300e-01,8.623000e-02,2.049130e+02,7.313744e+03,2.803000e-21,8.529000e+02,,,2.401000e+04,Psittacidae,Psittaciformes,Aves,Chordata,Af,TN,0iTf 0iTi,Tnwf,,biHs,Dg,O,4.244432e+00,,,,1.304770e+01,2.811543e+03,,,,,8.803266e+00,1.400000e+01,,,,2.122500e+02,,,,,,2.800000e-01,5.054164e-02,3.119500e+02,1.531610e+01,std,False,False,False
Amazona_amazonica,1.519491e+04,9.951000e-01,3.400000e-02,8.032116e+03,7.322642e+03,6.262000e-16,2.178000e+02,,,3.687000e+04,Psittacidae,Psittaciformes,Aves,Chordata,Af Am,TN,0iTf 0iTi,Tnwf,,biHs,Dg,O,4.087230e+00,,,,1.351930e+01,1.721353e+03,,,,,9.432070e+00,2.100000e+01,,,,4.700000e+02,,,,,,2.800000e-01,4.066569e-02,3.119500e+02,1.595260e+01,std,False,False,False
Amazona_finschi,1.629098e+03,9.916800e-01,4.624700e-02,4.117085e+02,7.327102e+03,4.565000e-14,3.512000e+02,,,1.827000e+04,Psittacidae,Psittaciformes,Aves,Chordata,Cwa Cwb,TN,0iTf 0iTi,Tnwf,,biHs,Dg,O,4.401633e+00,,,,1.383370e+01,1.480363e+03,,,,,9.432070e+00,1.500000e+01,,,,4.000000e+02,,,,,,2.800000e-01,5.228446e-02,3.119500e+02,1.280870e+01,std,False,False,False
Amblyopsis_rosae,3.823698e+01,9.448000e-01,2.192100e-02,2.678800e+01,5.220430e+03,2.827000e-08,9.605000e-01,,,4.709000e+02,Amblyopsidae,Percopsiformes,Actinopterygii,Chordata,Dfa,THn,0iFcc,Fbf,,biCi biCvae,D,O,2.645403e+02,,,,2.804127e+03,6.331621e+03,,,,,2.539587e+03,4.200000e-03,,,1.297037e+00,3.270642e+00,,,,3.600000e+00,4.900000e+00,2.000000e-01,3.948436e-02,2.873500e+02,1.039248e+02,std,False,False,False
Amblyopsis_spelaea,4.598062e+01,9.019400e-01,2.183400e-02,2.414940e+01,5.223227e+03,5.117000e-08,2.072000e+00,,,9.235000e+02,Amblyopsidae,Percopsiformes,Actinopterygii,Chordata,Dfa,THn,0iFcc,Fbf,,biCi biCvae,D,O,3.270315e+02,,,,2.824363e+03,7.115737e+03,,,,,2.497331e+03,5.200000e-03,,,1.700000e+00,6.900000e+00,,,,5.000000e+00,8.800000e+00,2.000000e-01,9.837351e-02,2.861500e+02,1.117185e+02,std,False,False,False
Amblyramphus_holosericeus,1.375991e+03,9.769700e-01,4.352100e-02,6.562373e+02,7.317741e+03,4.767000e-15,1.901000e+02,,1.241000e+03,3.706000e+03,Icteridae,Passeriformes,Aves,Chordata,Cfa Cwa Cwb,TN,0iTh 0iTi 0iTg,Tnpf,,biCi xiHs,Dg,O,2.755957e+00,,,4.336970e+00,7.498994e+00,7.546294e+02,,,,1.581012e+00,4.743037e+00,3.300000e+00,,,,5.300000e+01,,,,,,2.800000e-01,6.758285e-02,3.147500e+02,,std,False,False,False
Ambystoma_maculatum,4.320985e+01,9.620300e-01,2.146100e-02,1.941940e+01,7.308633e+03,6.220000e-10,9.259000e-01,7.935000e+00,,2.474000e+02,Ambystomatidae,Caudata,Amphibia,Chordata,Cfa Dfa Dfb,THn,0iFl,Fc,TT,biCii bpAa,Dg,O,1.009324e+02,,4.941754e+02,,2.971606e+03,1.548761e+04,,,3.932430e+02,,2.870674e+03,4.200000e-03,4.008628e-02,,1.392868e+00,1.284000e+01,,1.900000e+00,,6.200000e+00,1.300000e+01,2.800000e-01,2.066168e-01,2.901500e+02,,std,False,False,False
Ambystoma_mexicanum,1.339040e+02,8.397300e-01,7.026600e-02,2.535360e+01,7.266646e+03,2.626000e-09,4.339000e+00,,,9.123000e+03,Ambystomatidae,Caudata,Amphibia,Chordata,Cwc,THn,0iFl,Fc,TT,biCii,Dg,O,1.591192e+01,,,,7.425565e+02,8.227791e+03,,,,,7.266446e+02,4.200000e-03,,,2.449440e+01,1.100000e+02,1.000000e+00,,,1.800000e+01,3.000000e+01,2.800000e-01,2.066168e+00,2.901500e+02,,std,False,False,False
Ambystoma_opacum,1.222500e+02,9.898600e-01,2.171500e-02,1.370431e+02,7.305382e+03,5.760000e-09,1.893000e-01,1.486000e+00,,9.014000e+01,Ambystomatidae,Caudata,Amphibia,Chordata,Cfa Dfa,THn,0iFr 0iFc,Fc,TT,biCii,Dg,O,1.572972e+02,,2.368568e+02,,8.832788e+02,5.469061e+03,,,7.955962e+01,,7.259816e+02,4.200000e-03,,,,1.300000e+00,,,,,6.000000e+00,2.800000e-01,1.706294e-01,2.901500e+02,,std,False,False,False
Ambystoma_texanum,1.934500e+03,9.721500e-01,2.295400e-02,1.800158e+03,7.398120e+03,3.671000e-09,9.613000e-02,3.616000e+01,,7.837000e+03,Ambystomatidae,Caudata,Amphibia,Chordata,Cfa Dfa,THn,0iFr 0iFc,Fc,TT,biCii,Dg,O,1.121824e+02,,1.864381e+02,,8.388270e+02,6.679030e+03,,,7.425565e+01,,7.266446e+02,4.200000e-03,5.900000e-01,,,1.570000e+01,1.000000e+00,,,,1.900000e+01,2.800000e-01,1.446318e+00,2.901500e+02,,std,False,False,False
Amia_calva,1.720855e+03,5.637000e-01,2.561000e-02,1.540000e+02,5.221000e+03,5.115000e-08,5.289000e+00,,,1.364000e+06,Amiidae,Amiiformes,Actinopterygii,Chordata,Dfa Cfb,THn,0iFm,Fh,,biCi biCvf,D,O,2.171132e+01,1.085566e+01,,,1.758197e+03,7.032787e+03,,,,,,1.556480e-02,,,1.945600e+03,3.800000e+03,1.200000e+00,,,6.000000e+01,7.500000e+01,2.000000e-01,1.092028e+02,2.881500e+02,,std,False,False,False
Ammodramus_savannarum,9.730838e+02,9.332600e-01,4.566300e-02,5.409460e+02,7.328453e+03,6.468000e-12,4.212000e+02,,1.720000e+03,4.728000e+03,Emberizidae,Passeriformes,Aves,Chordata,BSh BSk Cfa Dfa Dfb,THn,0iTg 0iTa,Tnsf,Ml,bxCii xiHs,Dg,O,2.449740e+00,,,3.483479e+00,5.550956e+00,3.995097e+02,,,,1.033739e+00,3.101217e+00,2.000000e+00,,,,2.042000e+01,,,,,,2.800000e-01,2.703314e-01,3.147500e+02,,std,False,False,False
Ammomanes_deserti,1.256539e+03,9.424900e-01,5.531200e-02,6.983992e+02,7.318676e+03,2.181000e-12,4.429000e+02,,2.281000e+03,5.487000e+03,Alaudidae,Passeriformes,Aves,Chordata,BWh,THp TPa,0iTi 0iTs 0iTg,Tnsf,,biCi xiHs xiHl,Dg,O,2.143522e+00,,,3.371847e+00,5.828497e+00,5.149236e+02,,,,1.228325e+00,3.684975e+00,2.500000e+00,,,,2.200000e+01,,,,,,2.800000e-01,1.351657e-01,3.147500e+02,,std,False,False,False
Ammospiza_caudacuta,1.409797e+03,9.414800e-01,3.918900e-02,9.307172e+02,7.353649e+03,8.624000e-11,2.835000e+02,,1.351000e+03,3.226000e+03,Passerellidae,Passeriformes,Aves,Chordata,Dfb,THn,0iTh 0iTi 0iTs,Tnpf Tnsf,Ml,biCi biHs,Dg,O,2.408911e+00,,,3.564266e+00,5.874976e+00,1.775598e+02,,,,1.155355e+00,3.466066e+00,2.000000e+00,,,,1.840000e+01,,,,,,2.800000e-01,1.802209e-01,3.147500e+02,,std,False,False,False
Ammospiza_leconteii,1.180133e+03,9.465600e-01,3.673500e-02,8.446628e+02,7.318627e+03,8.111000e-11,2.346000e+02,,7.496000e+02,1.824000e+03,Passerellidae,Passeriformes,Aves,Chordata,Dfb Dfc,THn,0iTh 0iTi 0iTs,Tnpf Tnsf,Ml,biCi biHs,Dg,O,2.551812e+00,,,3.403127e+00,5.105755e+00,1.775598e+02,,,,8.513143e-01,2.553943e+00,1.700000e+00,,,,1.380000e+01,,,,,,2.800000e-01,1.802209e-01,3.147500e+02,,std,False,False,False
Ammospiza_maritima,1.109558e+03,9.579900e-01,4.328100e-02,6.417979e+02,7.323803e+03,1.000000e-11,2.790000e+02,,1.098000e+03,2.823000e+03,Passerellidae,Passeriformes,Aves,Chordata,Dfb,THn,0iTh 0iTi 0iTs,Tnpf Tnsf,Ml,biCi biHs,Dg,O,2.551812e+00,,,3.585551e+00,5.653029e+00,3.551197e+02,,,,1.033739e+00,3.101217e+00,2.400000e+00,,,,2.225000e+01,,,,,,2.800000e-01,1.576933e-01,3.147500e+02,,std,False,False,False
Amolops_mantzorum,6.019868e+02,8.422200e-01,1.534600e-01,1.779778e+02,7.397584e+03,9.219000e-08,3.878000e+00,3.067000e+02,,3.767000e+04,Ranidae,Anura,Amphibia,Chordata,Cwa,THp,0jFp jiTf jiTi,Fpf,,bjO jiCi,Dg,O,4.480460e+01,,,,2.770418e+03,1.362807e+04,,,,,2.725613e+03,4.200000e-03,2.984000e-01,,,3.730000e+01,,1.430000e+00,,,7.150000e+00,2.800000e-01,1.179741e+00,2.796500e+02,,std,False,False,False
Amphiuma_means,1.819610e+02,9.998200e-01,1.166600e-02,2.600610e+01,7.305699e+03,1.535000e-09,2.103000e-01,2.644000e-01,,8.915000e+01,Amphiumidae,Caudata,Amphibia,Chordata,Cfb,THn,0bTf biFl biFm,Tnsf,TT,biCi,Dg,O,1.267534e+02,,1.383897e+02,,1.340261e+03,8.191176e+03,,,1.163637e+01,,1.213508e+03,5.500000e-01,7.140496e-01,,1.486000e+02,1.042000e+03,5.500000e+00,6.000000e+00,,5.280000e+01,1.160000e+02,2.800000e-01,6.922083e-01,2.951500e+02,,std,False,False,False
Anas_acuta,8.906884e+03,9.937900e-01,1.276500e-01,2.289950e+03,7.291452e+03,1.311000e-17,3.422000e+02,,,1.349000e+05,Anatidae,Anseriformes,Aves,Chordata,Cfb Dfc,TH,biFp biFm biMm,Tnsf,Ms,biCi xiHl xiHr,Dg,O,5.675349e+00,,,1.147700e+01,1.450395e+01,1.261355e+03,,,,5.801651e+00,8.828599e+00,2.500000e+01,,,,6.800000e+02,,,,,,2.800000e-01,1.737814e-01,3.133500e+02,1.820390e+01,std,False,False,False
Anas_diazi,1.229274e+04,9.841400e-01,4.250400e-02,4.822138e+03,7.325457e+03,2.867000e-15,9.120000e+02,,,1.896000e+05,Anatidae,Anseriformes,Aves,Chordata,B,THn,biFp biFm biMm,Tnsf,Ml,biCi xiHl xiHr,Dg,O,6.909120e+00,,,1.346751e+01,2.658428e+01,9.805420e+02,,,,6.558388e+00,1.967516e+01,3.180000e+01,,,,1.200000e+03,,,,,,2.800000e-01,2.172268e-01,3.143500e+02,1.510720e+01,std,False,False,False
Anas_platyrhynchos,5.470376e+03,9.336600e-01,2.001900e-02,1.754662e+03,7.319012e+03,1.863000e-15,3.581000e+03,,,2.077000e+05,Anatidae,Anseriformes,Aves,Chordata,Cfa Cfb Csa Csb Dfa Dfb Dfc,TH TPi TA,biFp biFm biMm,Tnsf,Ms,biCi xiHl xiHr,Dg,O,4.317290e+00,,,1.125405e+01,2.512756e+01,1.339614e+03,,,,6.936756e+00,2.081027e+01,3.240000e+01,,,,1.099500e+03,,,,,,2.800000e-01,6.299577e-01,3.143500e+02,0.000000e+00,std,False,False,False
Anas_rubripes,7.200971e+03,9.813200e-01,3.810800e-02,2.126849e+03,7.332437e+03,7.242000e-14,1.555000e+03,,,1.750000e+05,Anatidae,Anseriformes,Aves,Chordata,Dfb Dfc,THn,biFp biFm biMm,Tnsf,Ml,biCi xiHl xiHr,Dg,O,4.700410e+00,,,1.170023e+01,2.569986e+01,9.805420e+02,,,,6.999818e+00,2.099945e+01,3.200000e+01,,,,1.111000e+03,,,,,,2.800000e-01,1.955041e-01,3.143500e+02,9.784500e+00,std,False,False,False
Anas_sparsa,1.136851e+04,9.905800e-01,2.433000e-02,4.836547e+03,7.304646e+03,1.022000e-17,6.460000e+02,,,7.774000e+04,Anatidae,Anseriformes,Aves,Chordata,A B C,TPa,biFp biFm biMm,Tnsf,,biCi xiHl xiHr,Dg,O,6.350846e+00,,,1.429659e+01,3.018806e+01,1.339614e+03,,,,7.945739e+00,2.383722e+01,3.500000e+01,,,,9.300000e+02,,,,,,2.800000e-01,8.689072e-02,3.143500e+02,1.030410e+01,std,False,False,False
Anatololacerta_anatolica,7.781314e+01,4.837700e-01,1.877600e-02,2.201770e+01,7.837335e+03,4.587000e-09,9.844000e+02,,,1.781000e+04,Lacertidae,Squamata,Reptilia,Chordata,Csa Cfb Dfb,THp,0iTg 0iTh 0iTa,Tt,TT,biCi,Dg,O,2.712357e+01,,,,9.101307e+02,3.033769e+03,,,,,,3.077002e-01,,,,7.980000e+00,2.500000e+00,,,,7.400000e+00,3.000000e-01,4.614722e-02,2.991500e+02,,std,False,False,False
Anatololacerta_danfordi,4.504402e+01,7.787000e-01,3.306500e-02,1.965360e+01,7.842794e+03,1.236000e-09,3.308000e+02,,,2.968000e+03,Lacertidae,Squamata,Reptilia,Chordata,Cfb Dfb,THp,0iTg 0iTh 0iTa,Tt,TT,biCi,Dg,O,4.247460e+01,,,,5.703901e+02,3.943900e+03,,,,,,2.447589e-01,,,,6.900000e+00,2.300000e+00,,,,7.000000e+00,3.000000e-01,1.977738e-02,2.991500e+02,,std,False,False,False
Anaxyrus_americanus,6.666641e+02,7.981000e-01,1.752800e-01,1.264292e+02,7.325567e+03,1.867000e-10,4.977000e+00,2.218000e+02,,5.465000e+05,Bufonidae,Anura,Amphibia,Chordata,Cfa Dfa,THn,0jFp jiFm,Fh,,biCi,Dg,O,2.097296e+01,,1.651621e+02,,1.779170e+03,2.109836e+04,,,1.441891e+02,,1.758197e+03,4.200000e-03,1.800000e-01,,1.312200e+02,1.200000e+02,,1.000000e+00,,9.000000e+00,1.110000e+01,2.800000e-01,1.365035e+01,2.881500e+02,,std,False,False,False
Anaxyrus_boreas,5.642755e+02,7.936500e-01,4.611100e-02,1.408249e+02,7.317181e+03,3.977000e-09,2.829000e+00,1.031000e+02,,3.541000e+05,Bufonidae,Anura,Amphibia,Chordata,B Dfc,THn,0jFp jiTf jiTh jiTg,Fh,,biCi,Dg,O,3.483537e+00,,4.648354e+01,,1.356553e+03,4.197500e+03,,,4.300000e+01,,1.353070e+03,4.200000e-03,1.150000e-01,,,9.290000e+01,,1.400000e-01,,,1.300000e+00,2.800000e-01,1.424658e+01,2.881500e+02,,std,False,False,False
Anaxyrus_californicus,2.584439e+03,9.399900e-01,2.013900e-02,1.203779e+03,7.321838e+03,1.717000e-08,1.362000e-01,3.535000e+01,,1.165000e+05,Bufonidae,Anura,Amphibia,Chordata,BWh Csa,THn,0jFp jiTd jiTa,Fh,,biCi,Dg,O,3.483537e+00,,3.848354e+01,,7.334835e+02,2.920000e+03,,,3.500000e+01,,7.300000e+02,4.200000e-03,1.144756e+00,,,1.760000e+02,,1.400000e-01,,,7.500000e-01,2.800000e-01,1.287671e+01,2.931500e+02,,std,False,False,False
Anaxyrus_fowleri,1.673745e+03,6.044700e-01,2.526500e-02,5.792893e+02,7.321552e+03,5.443000e-10,2.081000e+00,5.639000e+01,,4.279000e+05,Bufonidae,Anura,Amphibia,Chordata,Cfa Dfa Dfb,THn,0jFp jiFm,Fh,,biCi,Dg,O,3.163838e+00,,1.473529e+02,,1.761361e+03,2.109836e+04,,,1.441891e+02,,1.758197e+03,4.200000e-03,8.000000e-02,,,5.830000e+01,,3.610000e-01,,,3.250000e+00,2.800000e-01,1.450350e+01,2.881500e+02,1.587837e+02,std,False,False,False
Andrias_davidianus,5.604525e+02,9.874100e-01,3.685700e-02,2.636150e+01,7.313765e+03,8.358000e-10,6.373000e+00,,,6.897000e+04,Cryptobranchidae,Caudata,Amphibia,Chordata,Cfb,THp,0iFr 0iFc,Fnm,TT,biCi piCvm,Dg,O,8.435198e+01,,,,3.078847e+03,3.358742e+04,,,,,,2.210000e-01,,,7.458750e+02,3.000000e+04,3.000000e+00,,,4.500000e+01,1.500000e+02,2.800000e-01,8.038723e-01,2.831500e+02,,std,False,False,False
Andrias_japonicus,1.814137e+02,9.150800e-01,1.072200e-01,5.492100e+00,7.340008e+03,4.225000e-10,1.631000e+02,,,1.014000e+06,Cryptobranchidae,Caudata,Amphibia,Chordata,Cfb,THp,0iFr 0iFc,Fnm,TT,biCi piCvm,Dg,O,1.030143e+02,,,,1.128006e+04,6.016032e+04,,,,,,2.880000e-01,,,4.573333e+02,3.600000e+04,3.000000e+00,,,3.500000e+01,1.500000e+02,2.800000e-01,1.329780e+00,2.831500e+02,,std,False,False,False
Aneides_aeneus,1.072346e+02,7.703500e-01,2.077300e-02,5.196790e+01,7.301343e+03,8.366000e-09,1.800000e+01,,,1.537000e+04,Plethodontidae,Caudata,Amphibia,Chordata,Dfb,THn,0iFcc jiTf,Fc,,biCi,Dg,O,1.763279e+02,,,,6.062884e+03,1.569748e+04,,,,,5.886556e+03,1.410000e-02,,,1.946806e+00,7.200000e+00,8.900000e-01,,,4.600000e+00,7.100000e+00,2.800000e-01,5.351176e-02,2.881500e+02,,std,False,False,False
Anolis_gundlachi,1.760022e+02,8.121000e-01,2.311000e-02,1.266000e+02,7.836000e+03,6.243000e-08,1.014000e+02,,,4.028000e+03,Dactyloidae,Squamata,Reptilia,Chordata,Aw,TN,0iTf 0iTh,Tns,,biCi,Dg,O,2.569616e+01,,,,2.286064e+02,8.023207e+02,,,,,,9.277189e-02,,,1.537879e+00,2.913171e+00,1.500000e+00,,,4.000000e+00,5.000000e+00,3.000000e-01,6.730476e-02,2.981500e+02,,std,False,False,False
Anous_cerulea,9.009155e+01,9.867500e-01,1.274000e-01,2.345280e+01,7.312811e+03,1.179000e-12,4.490000e+02,,,1.427000e+03,Laridae,Charadriiformes,Aves,Chordata,MA,MP,biMc,Tnpfm,Ms,biCvf biCic,Dg,O,1.016597e+01,,,,1.663440e+01,7.227479e+02,,,,,6.468428e+00,5.000000e+00,,,,5.790000e+01,,,,,,2.800000e-01,2.075413e-02,3.138500e+02,1.376840e+01,std,False,False,False
Anous_minutus,1.603557e+03,9.943000e-01,9.740000e-02,5.050736e+02,7.330830e+03,1.296000e-13,4.581000e+02,,,1.510000e+04,Laridae,Charadriiformes,Aves,Chordata,MA,MP MA,biMc,Tnpfm,Ms,biCvf biCic,Dg,O,1.016597e+01,,,,1.610636e+01,1.305764e+03,,,,,5.940393e+00,1.680000e+01,,,,1.120000e+02,,,,,,2.800000e-01,2.075413e-02,3.138500e+02,1.512470e+01,std,False,False,False
Anous_stolidus,1.435144e+04,9.964400e-01,3.080700e-02,9.500000e+03,7.322659e+03,3.082000e-13,2.277000e+02,,,1.739000e+04,Laridae,Charadriiformes,Aves,Chordata,MA,MC,biMc,Tnpfm,Ms,biCvf biCic,Dg,O,9.866971e+00,,,,1.607138e+01,1.300946e+03,,,,,6.204411e+00,2.300000e+01,,,,2.500000e+02,,,,,,2.800000e-01,2.075413e-02,3.138500e+02,1.118320e+01,std,False,False,False
Anous_tenuirostris,4.213256e+03,9.958100e-01,8.159200e-02,1.782632e+03,7.326159e+03,1.206000e-13,2.757000e+02,,,1.775000e+04,Laridae,Charadriiformes,Aves,Chordata,MA,MI,biMc,Tnpfm,Ms,biCvf biCic,Dg,O,1.046497e+01,,,,1.627335e+01,1.300946e+03,,,,,5.808385e+00,1.700000e+01,,,,1.150000e+02,,,,,,2.800000e-01,2.075413e-02,3.138500e+02,1.922280e+01,std,False,False,False
Anser_anser,2.461783e+04,9.761000e-01,2.433900e-02,7.677390e+03,7.318323e+03,6.281000e-16,2.755000e+02,,8.530000e+03,1.360000e+04,Anatidae,Anseriformes,Aves,Chordata,Dfb Dfc Dwc,THp,xiFm xiFl,Tnsf,Ml,biCi xiH,Dg,O,6.909120e+00,,,1.447649e+01,2.961123e+01,1.427080e+03,,,,7.567370e+00,2.270211e+01,8.700000e+01,,,,4.600000e+03,,,,,,2.800000e-01,1.303361e-01,3.133500e+02,4.375400e+00,std,False,False,False
