Row,p_Am,kap,v,p_M,E_G,h_a,E_Hb,E_Hj,E_Hx,E_Hp,k_J,kap_R,kap_X,kap_P,family,order,class,phylum,climate,ecozone,habitat,embryo,migrate,food,gender,reprod,ab,ah,aj,ax,ap,am,tg,tb,tj,tx,tp,Wwb,Wwj,Wwx,Wwp,Wwi,Lb,Lj,Lx,Lp,Li,Ri,Ni,GSI,NR,d_V,T_typical,f,t_0,model,completeness
Clarias_ngamensis,572.774342810267,0.94475,0.019522,66.0243,5222.1762,2.323e-09,0.04567,0.04729,NaN,17290,0.002,0.95,0.8,0.1,Clariidae,Siluriformes,Actinopterygii,Chordata,Am,TPa,0iFr,Fs,Mp,biCi biCvf,D,O,0.896377811260434,NaN,NaN,NaN,NaN,3271.77901110058,NaN,NaN,NaN,NaN,NaN,0.0012,NaN,NaN,158.6,4000,NaN,NaN,NaN,26,73,NaN,NaN,NaN,NaN,0.2,298.15,1,NaN,abj,2.5
Claudius_angustatus,50.7911154187561,0.86745,0.043797,6.3677,7863.8122,3.786e-10,3742,NaN,NaN,209700,0.00024535,0.95,0.8,0.1,Kinosternidae,Testudines,Reptilia,Chordata,Aw,TN,0bTd biFp biFc,Tt,,biCi biSv,Dg,O,60.112931314544,NaN,NaN,NaN,NaN,2846.27966031153,NaN,NaN,NaN,NaN,883.937782705443,3.8,NaN,NaN,118.5,400,2.58,NaN,NaN,10,15,0.0339390402661371,NaN,NaN,NaN,0.3,301.15,1,NaN,std,1.7
Cleisthenes_herzensteini,151.310251223491,0.47201,0.031686,20.7592,5228.3893,6.269e-09,0.7338,9.278,NaN,116100,0.002,0.95,0.8,0.1,Pleuronectidae,Pleuronectiformes,Actinopterygii,Chordata,MC,MPNW,0jMp jiMcd,Mp,Mo,bjPz jiCi,D,O,10.0180681102608,NaN,NaN,NaN,NaN,7123.23674073736,NaN,NaN,NaN,NaN,NaN,0.00027,NaN,NaN,33.4,1000,NaN,NaN,NaN,15.5,47,NaN,NaN,NaN,NaN,0.2,290.35,1,NaN,abj,2.6
Cleisthenes_pinetorum,58.6402208280657,0.9492,0.02473,14.4421,5235.0292,9.071e-09,0.2084,2.417,NaN,30140,0.002,0.95,0.8,0.1,Pleuronectidae,Pleuronectiformes,Actinopterygii,Chordata,MC,MPNW,0jMp jiMcd,Mp,Mo,bjPz jiCi,D,O,24.7199083240201,NaN,NaN,NaN,NaN,7123.23674073736,NaN,NaN,NaN,NaN,NaN,0.0011,NaN,NaN,136.3,1000,NaN,NaN,NaN,24.5,47,42.1156857365583,NaN,NaN,NaN,0.2,290.35,1,NaN,abj,2.4
Clemmys_guttata,94.0831934048335,0.76177,0.026916,11.3001,7863.8546,4.427e-10,5323,NaN,NaN,294300,0.0010182,0.95,0.8,0.1,Emydidae,Testudines,Reptilia,Chordata,Cfa Dfa Dfb,THn,0bTd biFp biFm,Tt,,biO,Dtmf,O,31.2993757088467,NaN,NaN,NaN,NaN,9101.30676286106,NaN,NaN,NaN,NaN,2123.63824466758,NaN,NaN,NaN,NaN,387,2.8,NaN,NaN,8.05,13.6,0.026369839656361,NaN,NaN,NaN,0.3,295.15,1,NaN,std,2.5
Clidoderma_asperrimum,254.504109307457,0.66162,0.021891,104.548,5211.357,7.25e-07,0.404,111.3,NaN,637600,0.002,0.95,0.8,0.1,Pleuronectidae,Pleuronectiformes,Actinopterygii,Chordata,MC,MPNW,0jMp jiMcd,Mp,Mo,bjPz jiCi,D,O,NaN,NaN,NaN,NaN,NaN,40315.4047939363,NaN,NaN,NaN,NaN,NaN,0.00052,NaN,NaN,383.5,3666,NaN,NaN,NaN,30,62,NaN,NaN,0.16,NaN,0.2,275.25,1,NaN,abj,2.5
Clinocottus_analis,79.6679572966791,0.92686,0.023469,41.0342,5220.9847,2.349e-08,0.5732,4.254,NaN,778,0.002,0.95,0.8,0.1,Cottidae,Perciformes,Actinopterygii,Chordata,MA MB,MPE,bjMp jiMd,Mnfm,,biCi,D,O,NaN,NaN,NaN,NaN,NaN,3555.46680955202,NaN,NaN,NaN,NaN,NaN,0.0023,NaN,NaN,NaN,74,NaN,NaN,NaN,6,18,NaN,NaN,NaN,NaN,0.2,291.05,1,NaN,abj,2.4
Clinocottus_globiceps,62.7616685371764,0.94092,0.020396,19.3068,5228.9101,4.488e-07,0.4591,1.295,NaN,944.3,0.002,0.92,0.8,0.1,Cottidae,Perciformes,Actinopterygii,Chordata,MC,MPE,bjMp jiMd,Mnfm,,biCi,D,O,NaN,NaN,NaN,NaN,NaN,7579.15175766266,NaN,NaN,NaN,NaN,NaN,0.0023,NaN,NaN,NaN,134,NaN,NaN,NaN,6,19,1.05552709007467,NaN,NaN,NaN,0.2,283.25,1,NaN,abj,2.4
Clione_limacina,23.4961770906535,0.9961,0.003755,291.9,3920,4.914e-05,2.309e-07,0.0006168,NaN,0.1486,0.002,0.475,0.8,0.1,Clionidae,Gymnosomata,Gastropoda,Mollusca,MC ME,MPN MAN MN,0iMp,Mp,,biCim,Hh,O,5.10530548472801,NaN,NaN,NaN,NaN,4351.65329434234,NaN,NaN,20.4212219389121,NaN,43.7597612976687,8.33333333333333e-08,NaN,NaN,0.02,3.64,0.016,0.2,NaN,1.5,8.5,137.87863127333,NaN,NaN,NaN,0.15,279.15,1,NaN,abj,2.5
Clithon_retropictum,5.52253909387755,0.98,0.020005,14.8696,3925.8853,2.792e-11,0.000315,0.004677,NaN,5.931,0.002,0.95,0.7,0.2,Neritidae,Neritopsina,Gastropoda,Mollusca,MB,THp MPE,0jMc jiFr,Mp,,biD biHa,D,O,NaN,NaN,NaN,NaN,NaN,3811.03345295112,NaN,NaN,NaN,NaN,NaN,4.19e-06,NaN,NaN,NaN,0.0533333333333333,NaN,0.08,NaN,0.8,1.8,3.93594026008472,NaN,NaN,NaN,0.15,299.15,1,NaN,abj,2.5
Cloeon_dipterum,89.6641039477824,0.5975,0.0029903,808.9862,4469.6889,0.007484,0.001933,NaN,NaN,0.1872,0.002,0.95,0.8,0.1,Baetidae,Ephemeroptera,Insecta,Arthropoda,Cfb Dfb Dfc,TH,0eFl 0eFp 0eFm eiTg,Fv,,beH beD beS,D,Os,10,NaN,NaN,NaN,NaN,21,NaN,NaN,25.5500514494586,NaN,NaN,5.29411764705882e-06,0.0136,NaN,NaN,NaN,0.0554,0.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.17,293.15,1,13,hep,4
Clupanodon_thrissa,50.7730782431524,0.95216,0.023118,25.2081,5233.0742,1.893e-09,0.05719,1.895,NaN,8224,0.002,0.95,0.8,0.1,Dorosomatidae,Clupeiformes,Actinopterygii,Chordata,MA,MI MPSW,0iMpe 0iMr,Mpe,Mo,biPz,D,O,2.8090095510631,NaN,NaN,NaN,NaN,1491.32870710986,NaN,NaN,NaN,NaN,NaN,0.00032,NaN,NaN,NaN,NaN,NaN,NaN,NaN,12,26,NaN,NaN,NaN,NaN,0.2,300.55,1,NaN,abj,2.5
Clupea_bentincki,304.039083616391,0.96859,0.052689,132.6528,5221.7501,6.252e-09,0.1967,2.778,NaN,1381,0.002,0.95,0.8,0.1,Clupeidae,Clupeiformes,Actinopterygii,Chordata,MC,MPSE,0iMpe,Mpe,Mo,biPz,D,O,112.221829173302,NaN,NaN,NaN,NaN,21233.7128529326,NaN,NaN,NaN,NaN,NaN,0.0026,NaN,NaN,NaN,333,NaN,NaN,NaN,10,30.7,6.90725487730285,NaN,NaN,NaN,0.2,284.15,1,NaN,abj,2.5
Clupea_harengus,101.244358452138,0.7365,0.0867,34.41,5218,1.496e-09,15.55,1252,NaN,920200,0.002,0.95,0.8,0.1,Clupeidae,Clupeiformes,Actinopterygii,Chordata,MC,MAN,0iMpe,Mpe,Mo,biPz,D,O,71.0683974103293,NaN,342.659513955674,NaN,2826.45700776996,15545.5135427348,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1050,1.1,NaN,NaN,29,45,28.3039861494723,NaN,NaN,NaN,0.2,284.15,1,NaN,abj,2.6
Clupea_pallasii,1955.21380999719,0.78362,0.042993,1225.0297,5212.403,8.739e-08,0.3919,18.59,NaN,31060,0.002,0.95,0.8,0.1,Clupeidae,Clupeiformes,Actinopterygii,Chordata,MC ME,MPN MN,0iMpe,Mpe,Mo,biPz,D,O,52.5411889915288,NaN,NaN,NaN,NaN,47001.4681261653,NaN,NaN,NaN,NaN,NaN,0.0026,NaN,NaN,NaN,929,NaN,NaN,NaN,21.4,46,54.168520718668,NaN,NaN,NaN,0.2,275.95,1,NaN,abj,2.5
Clupeichthys_aesarnensis,132.05093533607,0.9745,0.027601,138.3115,5225.8239,6.416e-07,0.01872,0.05114,NaN,80.58,0.002,0.95,0.8,0.1,Ehiravidae,Clupeiformes,Actinopterygii,Chordata,Aw,TPi,piFl 0jFr,Fg,Mp,biPz,D,O,1.39045517225414,NaN,NaN,NaN,NaN,127.226648261253,NaN,NaN,NaN,NaN,NaN,0.00027,NaN,NaN,0.58,4.4,NaN,NaN,NaN,4,7.8,NaN,NaN,0.3,NaN,0.2,301.65,1,NaN,abj,2.5
Clupeonella_caspia,56.3037390555476,0.83604,0.037173,15.0525,5236.5564,1.447e-09,0.2083,0.2185,NaN,9014,0.002,0.95,0.8,0.1,Ehiravidae,Clupeiformes,Actinopterygii,Chordata,MB,MPSW,piMpe 0jFr,Fg,Mda,biPz,D,O,1.39045517225414,NaN,NaN,NaN,NaN,1353.37636766069,NaN,NaN,NaN,NaN,NaN,0.00027,NaN,NaN,3.42,16.45,NaN,NaN,NaN,8.8,14.9,NaN,NaN,0.3,NaN,0.2,301.65,1,NaN,abj,2.5
Clupeonella_cultriventris,350.747833254831,0.61994,0.021801,236.1761,5226.1168,9.127e-08,2.142,31.09,NaN,6363,0.002,0.95,0.8,0.1,Ehiravidae,Clupeiformes,Actinopterygii,Chordata,MC,MAm,0iMpe,Mpe,Mo,biPz,D,O,NaN,NaN,NaN,NaN,NaN,3812.63870286972,NaN,NaN,NaN,NaN,NaN,0.0026,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6,14,31.4742647683028,NaN,NaN,NaN,0.2,287.95,1,NaN,abj,2.7
Clupeonella_grimmi,23.5247796513764,0.84389,0.047133,13.3005,5205.9353,5.367e-10,0.2364,1.479,NaN,4973,0.002,0.95,0.8,0.1,Ehiravidae,Clupeiformes,Actinopterygii,Chordata,MB,MPSW,piMpe 0jFr,Fg,Mda,biPz,D,O,1.39045517225414,NaN,NaN,NaN,NaN,1353.37636766069,NaN,NaN,NaN,NaN,NaN,0.00027,NaN,NaN,5.04,22.67,NaN,NaN,NaN,8.8,14.5,NaN,NaN,0.3,NaN,0.2,301.65,1,NaN,abj,2.5
Clupisoma_garua,117.495954289795,0.9103,0.016991,37.3543,5236.3263,3.947e-09,0.006578,0.1959,NaN,4007,0.002,0.98,0.8,0.1,Ailiidae,Siluriformes,Actinopterygii,Chordata,Aw,TPi,biFc,Fnm,,biCi,D,O,1.8983030941435,NaN,NaN,NaN,NaN,2309.60209787459,NaN,NaN,NaN,NaN,NaN,3.3e-05,NaN,NaN,15.5,1800,NaN,NaN,NaN,13,60.9,NaN,NaN,0.1878,NaN,0.2,298.15,1,NaN,abj,2.5
Clupisoma_sinense,79.847222411953,0.937,0.021521,19.7042,5208.9219,4.98e-08,0.3419,0.4742,NaN,4038,0.002,0.98,0.8,0.1,Ailiidae,Siluriformes,Actinopterygii,Chordata,Cfa,TPi,biFc,Fnm,,biCi,D,O,16.8865821071232,NaN,NaN,NaN,NaN,3522.05855377141,NaN,NaN,NaN,NaN,NaN,0.0018,NaN,NaN,15.7,138,NaN,NaN,NaN,15,31,NaN,NaN,0.045,NaN,0.2,291.15,1,NaN,abj,2.2
Clypeaster_subdepressus,10.08441275,0.8,0.01336,3.6226,2376.2517,9.252e-10,0.002325,0.07537,NaN,10720,0.00046768,0.95,0.8,0.1,Clypeasteridae,Clypeasteroida,Echinoidea,Echinodermata,MA,MAW,0jMcp jiMb,Mp,,biP bjD,D,O,1.7354483688915,NaN,NaN,NaN,NaN,23442.6229216666,NaN,NaN,20,NaN,2930.32786520832,5.1e-06,NaN,NaN,18.5,500,NaN,0.067,NaN,10,30,8190.20980039509,NaN,NaN,NaN,0.09,299.15,1,NaN,abj,1.5
Cnidoglanis_macrocephalus,535.719396388972,0.53392,0.025475,30.9836,5211.1035,2.339e-08,148.3,171.2,NaN,579500,0.002,0.95,0.8,0.1,Plotosidae,Siluriformes,Actinopterygii,Chordata,MC,MIE MPSW,biFr,Fnm,Mp,biO,D,O,52.6722730761257,NaN,NaN,NaN,NaN,5616.40305047677,NaN,NaN,NaN,NaN,NaN,0.18,NaN,NaN,408.5,4720,NaN,NaN,NaN,41,91,17.3205161961697,NaN,NaN,NaN,0.2,291.35,1,NaN,abj,2.5
Cobitis_calderoni,32.4338057742782,0.65151,0.02157,15.4466,5228.0265,2.391e-08,2.988,3.37,NaN,738.2,0.00088575,0.95,0.8,0.1,Cobitidae,Cypriniformes,Actinopterygii,Chordata,Cfb Dfa Dfb,THp,0iFm 0iFp,Fh,Mp,biCi,D,O,NaN,NaN,NaN,NaN,NaN,1482.22354074322,NaN,NaN,NaN,NaN,NaN,0.0014,NaN,NaN,0.26,3.8,NaN,NaN,NaN,3.8,9.1,3.2653644116144,NaN,NaN,NaN,0.2,295.15,1,NaN,abj,2.5
Cobitis_meridionalis,305.858155603954,0.99635,0.032217,314.9916,5239.6586,5.892e-08,0.003626,0.01534,NaN,10.81,0.002,0.95,0.8,0.1,Cobitidae,Cypriniformes,Actinopterygii,Chordata,Cfb Dfa Dfb,THp,0iFm 0iFp,Fh,Mp,biCi,D,O,NaN,NaN,NaN,NaN,NaN,889.334124445933,NaN,NaN,NaN,NaN,NaN,0.00052,NaN,NaN,0.76,11.3,NaN,NaN,NaN,5,12.1,2.28035779158196,NaN,NaN,NaN,0.2,295.15,1,NaN,abj,2.5
Cobitis_ohridana,11.1777817450448,0.92479,0.019535,8.0866,5200.629,2.548e-09,0.0423,0.0473,NaN,179.3,0.00040949,0.95,0.8,0.1,Cobitidae,Cypriniformes,Actinopterygii,Chordata,Cfb Dfa Dfb,THp,0iFm 0iFp,Fh,Mp,biCi,D,O,NaN,NaN,NaN,NaN,NaN,2964.44708148644,NaN,NaN,NaN,NaN,NaN,0.00011,NaN,NaN,0.33,2.62,NaN,NaN,NaN,3.8,7.5,3.37331034257686,NaN,NaN,NaN,0.2,295.15,1,NaN,abj,2.5
Cobitis_paludica,49.5728943476689,0.80197,0.021883,30.9819,5178.5074,4.176e-08,0.6145,3.103,NaN,1912,0.002,0.95,0.8,0.1,Cobitidae,Cypriniformes,Actinopterygii,Chordata,Csa,THp,0iFm 0iFp,Fh,,biCi,D,O,NaN,NaN,NaN,NaN,NaN,1825,NaN,NaN,NaN,NaN,NaN,0.0007,NaN,NaN,1.6,15.45,NaN,NaN,NaN,6.2,13,5.44109589041096,NaN,NaN,NaN,0.2,293.15,1,NaN,abj,2.5
Cobitis_taenia,30.0788961951571,0.99899,0.028896,16.4821,5187.7977,1.148e-07,0.001097,0.001863,NaN,4.906,0.002,0.95,0.8,0.1,Cobitidae,Cypriniformes,Actinopterygii,Chordata,Cfb Dfb,THp,0iFm 0iFp,Fh,Mp,biCi,D,O,NaN,NaN,NaN,NaN,NaN,2662.05214560818,NaN,NaN,NaN,NaN,1331.02607280409,0.00027,NaN,NaN,1,12,0.5,NaN,NaN,6,13.5,1.8782502094292,NaN,NaN,NaN,0.2,289.15,1,NaN,abj,2.5
Coccyzus_americanus,1606.81888624563,0.69527,0.07082,463.0193,7322.2801,2.292e-11,10050,NaN,74970,142100,0.018917,0.95,0.8,0.1,Cuculidae,Cuculiformes,Aves,Chordata,Cfa Dfa Dfb,THn,0iTh 0iTf 0iTi,Tnpo,Ml,biCi,Dg,O,2.40406342742398,NaN,NaN,NaN,NaN,228.08797367243,NaN,NaN,NaN,2.62457394362796,7.87372183088388,8.5,NaN,NaN,NaN,62.5,NaN,NaN,NaN,NaN,NaN,0.115087172626204,NaN,NaN,NaN,0.28,314.45,1,NaN,std,2.5
Coccyzus_erythropthalmus,1512.23786628337,0.68877,0.079691,450.5901,7314.8088,1.7e-11,10890,NaN,75130,131300,0.018514,0.95,0.8,0.1,Cuculidae,Cuculiformes,Aves,Chordata,Cfa Dfa Dfb,THn,0iTh 0iTf 0iTi,Tnpo,Ml,biCi,Dg,O,2.40406342742398,NaN,NaN,NaN,NaN,228.08797367243,NaN,NaN,NaN,2.62457394362796,7.87372183088388,7.5,NaN,NaN,NaN,48.5,NaN,NaN,NaN,NaN,NaN,0.0591876887791906,NaN,NaN,NaN,0.28,314.45,1,NaN,std,2.5
Cochlearius_cochlearius,1986.9688000331,0.96681,0.028451,517.0151,7325.4905,1.673e-11,1154,NaN,11580,33400,0.02058,0.95,0.8,0.1,Ardeidae,Pelecaniformes,Aves,Chordata,BWh Cfa Dfd,TN,0iTg 0iTs xiFm,Tncfm,,biCva biCi,Dg,O,6.12434973284092,NaN,NaN,NaN,NaN,569.23919977531,NaN,NaN,NaN,5.37779121185933,16.133373635578,24.3,NaN,NaN,NaN,602,NaN,NaN,NaN,NaN,NaN,0.057058614397639,NaN,NaN,NaN,0.28,313.65,1,NaN,std,2.5
Coeligena_torquata,229.452431574285,0.99334,0.019916,156.5199,7321.8035,1.381e-11,7.999,NaN,47.36,188.1,0.0064601,0.95,0.8,0.1,Trochilidae,Apodiformes,Aves,Chordata,Am,TN,0iTf,Tnpf,TT,biCi xiHn,Dg,O,3.67460983970455,NaN,NaN,NaN,NaN,664.248046741607,NaN,NaN,NaN,3.85800633208509,11.5740189962553,0.33,NaN,NaN,NaN,8.7,NaN,NaN,NaN,NaN,NaN,0.0244998426153751,NaN,NaN,NaN,0.28,311.25,1,NaN,std,2.5
Coelorinchus_caelorhincus,190.620822790398,0.58902,0.016252,19.6802,5216.4602,3.689e-08,8.832,8.834,NaN,30840,0.002,0.95,0.8,0.1,Macrouridae,Gadiformes,Actinopterygii,Chordata,MA MB,MA MAm,0jMp jiMpb,Mp,,biPz,D,O,NaN,NaN,NaN,NaN,NaN,35097.0713906902,NaN,NaN,NaN,NaN,NaN,0.0092,NaN,NaN,NaN,NaN,NaN,NaN,NaN,20,48,4.87220138958258,NaN,NaN,NaN,0.2,281.15,1,NaN,abj,2.5
Coelorinchus_labiatus,1163.4041591546,0.81713,0.032876,226.8373,5247.2885,5.497e-07,1.484,1.496,NaN,7066,0.002,0.95,0.8,0.1,Macrouridae,Gadiformes,Actinopterygii,Chordata,MA MB,MA MAm,0jMp jiMpb,Mp,,biPz,D,O,NaN,NaN,NaN,NaN,NaN,13352.2736102725,NaN,NaN,NaN,NaN,NaN,0.0092,NaN,NaN,41.4,660,NaN,NaN,NaN,21,50,4.86808478445142,NaN,NaN,NaN,0.2,279.85,1,NaN,abj,2.5
Coenocorypha_aucklandica,1807.47677048835,0.6655,0.030591,516.9657,7319.2768,5.774e-14,9565,NaN,100200,147900,0.021539,0.95,0.8,0.1,Scolopacidae,Charadriiformes,Aves,Chordata,Cfb,TAz,0iTg 0iThf,Tnsfm,,biCi,Dg,O,4.49118980408334,NaN,NaN,NaN,NaN,937.632421302367,NaN,NaN,NaN,6.93591106168874,20.8077331850662,13.6,NaN,NaN,NaN,116,NaN,NaN,NaN,NaN,NaN,0.0426606408772002,NaN,NaN,NaN,0.28,314.15,1,NaN,std,2.5
Coenocorypha_huegeli,851.7670830612,0.59101,0.050071,160.5034,7325.5009,1.707e-14,30790,NaN,318800,501400,0.0066022,0.95,0.8,0.1,Scolopacidae,Charadriiformes,Aves,Chordata,Cfb,TAz,0iTg 0iThf,Tnsfm,,biCi,Dg,O,4.49118980408334,NaN,NaN,NaN,NaN,937.632421302367,NaN,NaN,NaN,8.34878183351423,25.0463455005427,15.5,NaN,NaN,NaN,105,NaN,NaN,NaN,NaN,NaN,0.0426606408772002,NaN,NaN,NaN,0.28,314.15,1,NaN,std,2.5
Coenocorypha_pusilla,1470.09549625532,0.69966,0.030079,505.2149,7319.9331,2.81e-14,8167,NaN,53900,84440,0.020763,0.95,0.8,0.1,Scolopacidae,Charadriiformes,Aves,Chordata,Cfb,TAz,0iTg 0iThf,Tnsfm,,biCi,Dg,O,4.69533479517804,NaN,NaN,NaN,NaN,937.632421302367,NaN,NaN,NaN,5.2661546949859,15.7984640849577,11,NaN,NaN,NaN,70,NaN,NaN,NaN,NaN,NaN,0.0426606408772002,NaN,NaN,NaN,0.28,314.15,1,NaN,std,2.5
Coilia_borneensis,12.2065208643604,0.9857,0.020906,28.7461,5218.0577,2.406e-08,0.007523,0.6751,NaN,300.9,0.002,0.95,0.8,0.1,Engraulidae,Clupeiformes,Actinopterygii,Chordata,MA,MPW TPi,piMpe 0jFr,Fg,Mda,biPz,D,O,2.42174734987792,NaN,NaN,NaN,NaN,353.575113082177,NaN,NaN,NaN,NaN,NaN,0.00011,NaN,NaN,2.65,6.91,NaN,NaN,NaN,9.1,12.4,NaN,NaN,NaN,NaN,0.2,301.15,1,NaN,abj,2.5
Coilia_brachygnathus,185.15932575953,0.89167,0.021024,43.3336,5212.8851,5.049e-07,0.05788,0.05836,NaN,6883,0.002,0.95,0.8,0.1,Engraulidae,Clupeiformes,Actinopterygii,Chordata,Cfa,TPi,0iFr 0iFl,Fg,Mda,biPz,D,O,11.3811128089336,NaN,NaN,NaN,NaN,1846.269411227,NaN,NaN,NaN,NaN,NaN,0.00027,NaN,NaN,17,156.6,NaN,NaN,NaN,17.21,35.4,129.991862802135,NaN,NaN,NaN,0.2,290.65,1,NaN,abj,2.5
Coilia_dussumieri,98.5701893823213,0.91941,0.024439,36.0573,5216.9592,1.332e-08,0.0662,0.06667,NaN,5820,0.002,0.95,0.8,0.1,Engraulidae,Clupeiformes,Actinopterygii,Chordata,Cfa,TPi,0iFr 0iFl,Fg,Mda,biPz,D,O,4.09870582383383,NaN,NaN,NaN,NaN,664.901166977488,NaN,NaN,NaN,NaN,NaN,0.00027,NaN,NaN,11.6,29.3,NaN,NaN,NaN,14.7,20,128.343886637951,NaN,NaN,NaN,0.2,301.85,1,NaN,abj,2.5
Coilia_mystus,52.8160272765758,0.87401,0.015532,19.024,5211.2726,9.475e-09,0.1106,0.1495,NaN,7700,0.002,0.95,0.8,0.1,Engraulidae,Clupeiformes,Actinopterygii,Chordata,MA,TPi MPW,0iFr 0iFl,Fg,Mda,biPz,D,O,2.27705879101879,NaN,NaN,NaN,NaN,831.12645872186,NaN,NaN,NaN,NaN,NaN,0.00027,NaN,NaN,11.8,33.5,NaN,NaN,NaN,15,21,128.343886637951,NaN,NaN,NaN,0.2,301.85,1,NaN,abj,2.5
Coilia_nasus,177.404182473719,0.87229,0.0207,64.7237,5208.9487,1.642e-07,0.08153,0.4576,NaN,33940,0.002,0.95,0.8,0.1,Engraulidae,Clupeiformes,Actinopterygii,Chordata,MB,MPNW,piMpe 0jFr,Fg,Mda,biPz,D,O,6.44156414723043,NaN,NaN,NaN,NaN,2307.83676403376,NaN,NaN,NaN,NaN,NaN,0.00027,NaN,NaN,51.75,221.3,NaN,NaN,NaN,25.5,41,248.134967309856,NaN,NaN,NaN,0.2,290.65,1,NaN,abj,2.5
Coilia_ramcarati,39.3010322775264,0.89505,0.017703,11.3718,5239.0202,1.146e-08,0.1115,0.1825,NaN,11640,0.002,0.95,0.8,0.1,Engraulidae,Clupeiformes,Actinopterygii,Chordata,MA,TPi MI,0iFr 0iFl,Fg,Mda,biPz,D,O,2.27705879101879,NaN,NaN,NaN,NaN,831.12645872186,NaN,NaN,NaN,NaN,NaN,0.00027,NaN,NaN,26,72,NaN,NaN,NaN,17.9,25,128.343886637951,NaN,NaN,NaN,0.2,301.85,1,NaN,abj,2.5
Coleonyx_variegatus,412.519820005544,0.97403,0.032672,269.9044,7843.5211,2.172e-10,41.04,NaN,NaN,1124,0.002,0.95,0.85,0.1,Eublepharidae,Squamata,Reptilia,Chordata,BWh,THn,0iTht,Tv,,biCi,Dg,O,17.2978968986788,NaN,NaN,NaN,NaN,3198.957733129,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.46,2.4,NaN,NaN,5.2,7,0.0190061904758365,NaN,NaN,NaN,0.3,298.15,1,NaN,std,2.5
Coleura_seychellensis,5325.80580508134,0.99462,0.096185,5028.1471,7844.5601,1.015e-12,5.765,NaN,8631,14400,0.002,0.95,0.8,0.1,Emballonuridae,Chiroptera,Mammalia,Chordata,A,TPa,0iTh 0iTf,Tv,,bxM xiCii,Dg,O,NaN,NaN,NaN,NaN,NaN,1966.6551024422,24.2464327698354,NaN,NaN,32.3285770264472,175.113125559922,0.38,NaN,NaN,NaN,10.5,NaN,NaN,NaN,NaN,NaN,0.0101695513235462,NaN,NaN,NaN,0.3,307.95,1,86.7882,stx,2.5
Colinus_virginianus,3188.51310688851,0.16288,0.0122,300.7035,7246.6348,1.193e-11,9755,NaN,77320,325400,0.011756,0.95,0.47264,0.1,Odontophoridae,Galliformes,Aves,Chordata,Cfa Dfa Dfb,THn,0iTg 0iTh 0iTf,Tnsfm,,bxCi biHs,Dg,O,3.96715004081383,NaN,NaN,NaN,NaN,363.842411693743,NaN,NaN,NaN,4.67263371182033,15.5754457060678,6.5,NaN,182.9,194.2,200,NaN,NaN,NaN,NaN,26,NaN,NaN,NaN,NaN,0.28,312.05,1,0,std,2.9
Colistium_guentheri,190.485514834861,0.9053,0.054737,21.0334,5227.2484,6.977e-09,0.155,1.948,NaN,95320,0.002,0.95,0.8,0.1,Pleuronectidae,Pleuronectiformes,Actinopterygii,Chordata,MC,MPSW,0jMp jiMcd,Mp,Mo,bjPz jiCi,D,O,13.2649221095897,NaN,NaN,NaN,NaN,8547.00269449365,NaN,NaN,NaN,NaN,NaN,0.000508,NaN,NaN,258,12100,NaN,NaN,NaN,25,90,NaN,NaN,0.07,NaN,0.2,289.75,1,NaN,abj,2.4
Colistium_nudipinnis,183.267472245496,0.9548,0.051384,30.575,5223.7774,1.995e-09,0.06482,2.376,NaN,45290,0.002,0.95,0.8,0.1,Pleuronectidae,Pleuronectiformes,Actinopterygii,Chordata,MC,MPSW,0jMp jiMcd,Mp,Mo,bjPz jiCi,D,O,13.2649221095897,NaN,NaN,NaN,NaN,9692.91440894177,NaN,NaN,NaN,NaN,NaN,0.000478,NaN,NaN,258,12100,NaN,NaN,NaN,25,91.4,NaN,NaN,0.05,NaN,0.2,290.65,1,NaN,abj,2.4
Collocalia_esculenta,435.64556065364,0.84389,0.022346,286.8354,7315.7696,4.76e-12,665.8,NaN,4249,8146,0.012364,0.95,0.8,0.1,Apodidae,Apodiformes,Aves,Chordata,Af,TPi,0iTh 0iTf 0iTi 0iTg,Tncfm,,biCi,Dg,O,4.38911730853599,NaN,NaN,NaN,NaN,979.598129538128,NaN,NaN,NaN,7.04505504119887,21.1351651235966,1.18,NaN,NaN,NaN,8.3,NaN,NaN,NaN,NaN,NaN,0.0326664568205002,NaN,NaN,NaN,0.28,311.25,1,NaN,std,2.5
Cololabis_saira,2163.18077421904,0.86048,0.063111,588.707,5228.7692,2.846e-07,0.3408,NaN,NaN,35790,0.002,0.95,0.8,0.1,Scomberesocidae,Beloniformes,Actinopterygii,Chordata,MC,MPN,biMp,Mp,Mo,biPz,D,O,8.83112507323055,NaN,NaN,NaN,NaN,2344.26229216666,NaN,NaN,NaN,NaN,NaN,0.0031,NaN,NaN,NaN,267,NaN,NaN,NaN,23.8,40,72.4372868033693,NaN,NaN,NaN,0.2,288.15,1,NaN,std,2.5
