Row,p_Am,kap,v,p_M,E_G,h_a,E_Hb,E_Hj,E_Hx,E_Hp,k_J,kap_R,kap_X,kap_P,family,order,class,phylum,climate,ecozone,habitat,embryo,migrate,food,gender,reprod,ab,ah,aj,ax,ap,am,tg,tb,tj,tx,tp,Wwb,Wwj,Wwx,Wwp,Wwi,Lb,Lj,Lx,Lp,Li,Ri,Ni,GSI,NR,estim_z,estim_kap,estim_v,estim_p_M,estim_k_J,estim_E_Hb,estim_E_Hj,estim_E_Hp,d_V,T_typical,f,t_0,model,completeness
Chelidonichthys_capensis,48.5097189575881,0.90022,0.086444,17.1488,5229.6635,3.724e-09,0.4083,106.2,NaN,234800,0.002,0.95,0.8,0.1,Triglidae,Perciformes,Actinopterygii,Chordata,MB,MASW MISE,0jMp jiMd,Mp,,bjPz jiCi jiCvf,D,O,16.2428650117408,NaN,NaN,NaN,NaN,10539.8146298407,NaN,NaN,NaN,NaN,NaN,0.0008,NaN,NaN,383,4775,NaN,NaN,NaN,34.3,75,NaN,NaN,0.07,NaN,1,1,1,1,0,1,1,1,0.2,286.45,1,NaN,abj,2.5
Chelidonichthys_cuculus,83.104857976764,0.88225,0.03458,21.4365,5225.3399,1.329e-08,0.3676,20.7,NaN,100000,0.002,0.95,0.8,0.1,Triglidae,Perciformes,Actinopterygii,Chordata,MB,MANE MAm,0jMp jiMd,Mp,,bjPz jiCi jiCvf,D,O,8.92286021206274,NaN,NaN,NaN,NaN,18521.752621488,NaN,NaN,NaN,NaN,NaN,0.0008,NaN,NaN,176,3400,NaN,NaN,NaN,26.6,70,NaN,NaN,0.06,NaN,1,1,0,1,0,1,1,1,0.2,283.25,1,NaN,abj,2.5
Chelidonichthys_kumu,213.915000652807,0.90379,0.032984,28.0532,5213.4661,6.516e-09,0.6006,1.162,NaN,30050,0.002,0.95,0.8,0.1,Triglidae,Perciformes,Actinopterygii,Chordata,MB,MPSW MIN,bjMp jiMd,Mp,,bjPz jiCi,D,O,8.54000497899109,NaN,NaN,NaN,NaN,5844.56590749703,NaN,NaN,NaN,NaN,NaN,0.0026,NaN,NaN,91.6,1500,NaN,NaN,NaN,21.2,60,NaN,NaN,0.09,NaN,1,1,0,1,0,1,1,1,0.2,292.45,1,NaN,abj,2.5
Chelidonichthys_lastoviza,39.6038190191553,0.94021,0.10876,19.3564,5225.1812,2.387e-09,0.2467,20.47,NaN,27030,0.002,0.95,0.8,0.1,Triglidae,Perciformes,Actinopterygii,Chordata,MB,MAW MAm,0jMp jiMd,Mp,,bjPz jiCi jiCvf,D,O,18.6089616126574,NaN,NaN,NaN,NaN,13584.5419772399,NaN,NaN,NaN,NaN,NaN,0.0008,NaN,NaN,70.6,623,NaN,NaN,NaN,19.5,40,NaN,NaN,0.04,NaN,1,1,1,1,0,1,1,1,0.2,284.95,1,NaN,abj,2.5
Chelidonichthys_lucerna,168.297877051818,0.65247,0.035834,17.7616,5225.4908,4.3412e-08,0.55708,6.008,NaN,91749.8942,0.002,0.95,0.8,0.1,Triglidae,Perciformes,Actinopterygii,Chordata,MB MC,MAE,0jMp jiMd,Mp,,bjPz jiCi jiCvf,D,O,27.8509242052002,8.89682300999451,NaN,NaN,NaN,10165.5873348981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6000,0.485,NaN,NaN,19.7,61,NaN,NaN,NaN,NaN,1,1,1,1,0,1,1,1,0.2,286.65,1,NaN,abj,2.6
Chelidonichthys_queketti,53.1795371904473,0.90655,0.056549,22.8613,5225.2664,2.219e-08,0.3549,147.4,NaN,226200,0.002,0.95,0.8,0.1,Triglidae,Perciformes,Actinopterygii,Chordata,MB,MISW,0jMp jiMd,Mp,,bjPz jiCi jiCvf,D,O,11.9965814119208,NaN,NaN,NaN,NaN,3405.6961674953,NaN,NaN,NaN,NaN,NaN,0.0008,NaN,NaN,383,4775,NaN,NaN,NaN,19.5,35,NaN,NaN,0.11,NaN,1,1,1,1,0,1,1,1,0.2,289.85,1,NaN,abj,2.5
Chelodina_oblonga,207.433935229628,0.819139977318108,0.0156846928715728,17.1997033425964,7845.87593422502,2.92393955334405e-09,8908.47501436893,NaN,NaN,1957943.5054707,0.000657046766680031,0.95,0.8,0.1,Chelidae,Testudines,Reptilia,Chordata,Aw,TA,0bTd biFm biMm,Tt,,biCi biCvf biCva,Dg,O,105.834227227389,NaN,NaN,NaN,NaN,2723.37925212878,NaN,NaN,NaN,NaN,1255.4585204849,14.3,NaN,NaN,NaN,NaN,3.1,NaN,NaN,21,30,0.0724834779605885,NaN,NaN,NaN,1,1,1,1,1,1,0,1,0.3,300.15,1,NaN,std,2.5
Chelon_auratus,123.143999541299,0.91563,0.021018,18.957,5228.894,5.025e-08,0.08094,NaN,NaN,31040,0.002,0.95,0.8,0.1,Mugilidae,Mugiliformes,Actinopterygii,Chordata,MB MC,MAE MAm,jiFm 0iMm,Mp,Mdc,bjPz jiCi,D,O,NaN,NaN,NaN,NaN,NaN,4615.67352806751,NaN,NaN,NaN,NaN,NaN,0.00038,NaN,NaN,101.4,479.2,NaN,NaN,NaN,24,40,NaN,NaN,0.04,NaN,1,1,1,1,0,1,0,1,0.2,290.65,1,NaN,std,2.5
Chelon_labrosus,396.540238381391,0.61905,0.032543,18.5739,5229.4682,1.2136e-08,0.37392,NaN,NaN,150072.8601,0.002,0.95,0.8,0.1,Mugilidae,Mugiliformes,Actinopterygii,Chordata,MB MC,MAE,jiFm 0iMm,Mp,Mdc,bjPz jiCi,D,O,32.1131820844747,8.02829552111868,NaN,NaN,1465.16393260416,13479.5081799583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8324,0.5,NaN,NaN,25,90,NaN,NaN,NaN,NaN,1,1,1,1,0,1,0,1,0.2,288.15,1,NaN,std,2.5
Chelon_ramada,380.915011728446,0.85007,0.027576,27.3119,5222.3682,5.446e-09,0.08817,NaN,NaN,26020,0.002,0.95,0.8,0.1,Mugilidae,Mugiliformes,Actinopterygii,Chordata,MB MC,MAE MANW,jiFm 0iMm,Mp,Mdc,bjPz jiCi,D,O,NaN,NaN,NaN,NaN,NaN,10125.9183420928,NaN,NaN,NaN,NaN,NaN,0.00038,NaN,NaN,77.9,7220,NaN,NaN,NaN,25.9,70,2725.67870563093,NaN,NaN,NaN,1,1,1,1,0,1,0,1,0.2,291.15,1,NaN,std,2.5
Chelon_saliens,149.881076152387,0.73261,0.019914,17.8196,5230.3121,5.656e-10,0.2756,NaN,NaN,92760,0.002,0.95,0.8,0.1,Mugilidae,Mugiliformes,Actinopterygii,Chordata,MB,MAm MAE,jiFm 0iMm,Mp,Mdc,bjPz jiCi,D,O,NaN,NaN,NaN,NaN,NaN,5312.08482511155,NaN,NaN,NaN,NaN,NaN,0.00038,NaN,NaN,94.5,614,NaN,NaN,NaN,21.3,40,787.496277434124,NaN,NaN,NaN,1,1,1,1,0,1,0,1,0.2,291.15,1,NaN,std,2.5
Chelonia_mydas,845.152366745804,0.72448,0.10569,12.1377,7845,4.175e-11,36990,NaN,NaN,235900000,0.0010805,0.95,0.8,0.1,Cheloniidae,Testudines,Reptilia,Chordata,MA MB,MC,0bTd biMcp biMr,Tt,Mo,biCi piHa,Dtmf,O,22.3407682795587,19.7302081342991,NaN,NaN,8117.72688628452,22393.7293414745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97000,130000,NaN,NaN,NaN,91,115,0.391180935806701,NaN,NaN,NaN,1,1,1,1,1,1,0,1,0.3,296.15,1,35.2954,std,2.9
Chelonoidis_niger,861.086657964512,0.9806,0.015694,22.7498,7833.7402,1.243e-11,987.2,NaN,NaN,5348000,0.002,0.95,0.8,0.1,Testudinidae,Testudines,Reptilia,Chordata,BWh,TN,0iTa,Tt,,biHl,Dtmf,O,118.181270674043,NaN,NaN,NaN,NaN,44743.141442262,NaN,NaN,NaN,NaN,5687.68747147399,50,NaN,NaN,NaN,417000,6,NaN,NaN,NaN,187,0.0632946169784368,NaN,NaN,NaN,1,1,1,1,0,1,0,1,0.3,297.15,1,NaN,std,2.5
Chelus_fimbriata,369.935270033231,0.863910601541783,0.0139660525059943,23.9533305428288,7833.06737746103,2.07698034765553e-10,4505.43567396548,NaN,NaN,1614793.50867487,0.002,0.95,0.8,0.1,Chelidae,Testudines,Reptilia,Chordata,Af Am Aw,TN,0bTd biFc biFr,Tt,,biCi biCvf,Dg,O,100.744689754922,NaN,NaN,NaN,NaN,6328.99452417097,NaN,NaN,NaN,NaN,NaN,15,NaN,NaN,NaN,11700,4.9,NaN,NaN,33.3,44.7,0.181008214752731,NaN,NaN,NaN,1,1,1,1,0,1,0,1,0.3,301.15,1,NaN,std,2.5
Chelydra_serpentina,97.8241105680986,0.88805,0.068161,3.5727,7858.4531,1.016e-10,6653,NaN,NaN,10560000,0.00013768,0.95,0.8,0.1,Chelydridae,Testudines,Reptilia,Chordata,Cfa Dfa Dfb,THn,0bTd biFp biFl biFr,Tt,,biCi biCv biSv biHl,Dtmf,O,NaN,NaN,NaN,NaN,NaN,11929.1689825759,NaN,NaN,NaN,NaN,4568.61790822056,8.24,NaN,NaN,NaN,16000,NaN,NaN,NaN,25.4,45,0.141837206134927,NaN,NaN,NaN,1,1,1,1,1,1,0,1,0.3,297.15,1,NaN,std,2.7
Chiloscyllium_plagiosum,246.869422071499,0.7077,0.03059,18.91,5287,4.294e-10,7787,NaN,NaN,1275000,0.002,0.95,0.8,0.1,Hemiscylliidae,Orectolobiformes,Chondrichthyes,Chordata,MA,MIE MPW,0iMr 0iMd,Ms,,biCi biCvf,D,O,NaN,79.7287299540268,NaN,NaN,923.840839149834,5774.00524468646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2200,NaN,NaN,NaN,66,93,NaN,NaN,0.025,NaN,1,1,1,1,0,1,0,1,0.2,298.15,1,NaN,std,3
Chimaera_fulva,689.351090229296,0.30223,0.025935,23.272,5224.7041,3.462e-08,16700,NaN,NaN,3726000,0.002,0.95,0.8,0.1,Chimaeridae,Chimaeriformes,Chondrichthyes,Chordata,MC,MPS,0iMd,Ms,,biCi biCvf,D,O,NaN,NaN,NaN,NaN,NaN,61031.8648417821,NaN,NaN,NaN,NaN,27464.339178802,NaN,NaN,NaN,NaN,4900,16,NaN,NaN,62.8,100,0.0145680780268457,NaN,NaN,NaN,1,1,1,1,0,1,0,1,0.2,278.55,1,NaN,std,2.5
Chimaera_lignaria,394.908905222987,0.84377,0.02424,20.8138,5226.2089,9.341e-08,6414,NaN,NaN,1677000,0.002,0.95,0.8,0.1,Chimaeridae,Chimaeriformes,Chondrichthyes,Chordata,MC,MPS,0iMcd,Ms,,biCi biCvf,D,O,NaN,NaN,NaN,NaN,NaN,79084.3132097137,NaN,NaN,NaN,NaN,60692.6124632686,NaN,NaN,NaN,NaN,18700,16.4,NaN,NaN,88.6,142,0.00326234103235926,NaN,NaN,NaN,1,1,1,1,0,1,0,1,0.2,276.75,1,NaN,std,2.5
Chimaera_monstrosa,165.149341093784,0.9106,0.017753,15.995,5233.069,1.05e-07,606.5,NaN,NaN,40680,0.002,0.95,0.8,0.1,Chimaeridae,Chimaeriformes,Chondrichthyes,Chordata,MC,MAm MANW,0iMcd,Ms,,biCi biCvf,D,O,NaN,NaN,NaN,NaN,NaN,43033.6960426803,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2500,16.4,NaN,NaN,62.9,150,0.00418276877313718,NaN,NaN,NaN,1,1,1,1,0,1,0,1,0.2,279.15,1,NaN,std,2.5
Chinchilla_lanigera,4929.46951949184,0.95245,0.051901,1335.0413,7856.017,5.171e-23,3863,NaN,119600,971100,0.002,0.97,0.8,0.1,Chinchillidae,Rodentia,Mammalia,Chordata,BWk Csb,TN,0iTh 0iTa 0iTd,Tv,,bxM xiH,Dg,O,NaN,NaN,NaN,NaN,NaN,1705.65618620437,30.1573489437217,NaN,NaN,14.6711427293781,65.205078797236,35,NaN,NaN,NaN,642.5,NaN,NaN,NaN,NaN,NaN,0.0403363823005281,NaN,NaN,NaN,1,1,1,1,0,1,0,1,0.3,307.85,1,90.0422,stx,2.5
Chinchillula_sahamae,6683.3836422232,0.97463,0.022081,4365.2501,7854.791,2.528e-13,59.25,NaN,2578,54020,0.002,0.95,0.8,0.1,Cricetidae,Rodentia,Mammalia,Chordata,Cwb,TN,0iTi 0iTg,Tv,,bxM xiO,Dg,O,NaN,NaN,NaN,NaN,NaN,407.983659210719,5.80377175905659,NaN,NaN,4.72899921108315,21.4954509594689,NaN,NaN,NaN,NaN,149,6,NaN,NaN,NaN,26.2,0.382368255389924,NaN,NaN,NaN,1,1,1,1,0,1,0,1,0.3,310.65,1,17.1809,stx,2.2
Chioglossa_lusitanica,140.209439820107,0.613918255441241,0.246785153173307,57.1512332468139,7305.31103266625,2.1963818134045e-09,479.768443583096,2274.84046194153,NaN,10476.0693987366,0.002,0.95,0.8,0.1,Salamandridae,Caudata,Amphibia,Chordata,Cfb Csb,THp,0jFc jiTf,Fs,,biCi,Dg,O,165.060751944527,NaN,NaN,NaN,NaN,5860.65573041664,NaN,NaN,NaN,NaN,NaN,0.144,NaN,NaN,1.29,3.41,1.25,2.2,NaN,4,5.5,0.0290069930430659,NaN,NaN,NaN,1,1,1,1,0,1,1,1,0.28,291.15,1,NaN,std,2.5
Chioninia_coctei,122.347022709492,0.964767145422009,0.0239832710819097,14.983148397191,7853.30228163441,1.46704021043263e-09,1608.3284507565,NaN,NaN,102558.833718251,0.0013,0.95,0.85,0.1,Scincidae,Squamata,Reptilia,Chordata,BSh,TPav,0iTd,Tv,,biHl,Dg Dtfm,O,94.8520297536057,NaN,NaN,NaN,NaN,3462.09908600661,NaN,NaN,NaN,NaN,1298.28715725248,9.22,NaN,NaN,NaN,858,6.95,NaN,NaN,23,31.5,0.00462147373674835,NaN,NaN,NaN,1,1,1,1,0,1,0,1,0.3,298.15,1,NaN,std,2.7
Chionis_albus,2346.4659284852,0.949438365533289,0.028037168479996,566.481223652008,7329.972550551,7.60923933757887e-14,2110.56630374121,NaN,29654.4236553275,69113.6933692399,0.0229923388015598,0.95,0.8,0.1,Chionidae,Charadriiformes,Aves,Chordata,MB MC,MAS MPSE,0iMm biMc,Tnsfm,Ms,biCvf biCi biSi biSv,Dg,O,6.12434973284092,NaN,NaN,NaN,NaN,1419.3374449101,NaN,NaN,NaN,7.12909218904614,21.3872765671384,32,NaN,NaN,NaN,838,NaN,NaN,NaN,NaN,NaN,0.050727894383538,NaN,NaN,NaN,1,1,1,1,1,1,0,1,0.28,314.05,1,NaN,std,2.5
Chionis_minor,5467.27492887908,0.929851571001721,0.0176125376046068,2162.65592795512,7315.66514177425,6.31487512968355e-13,822.421262063071,NaN,10397.570698558,21504.826596872,0.0894956158134215,0.95,0.8,0.1,Chionidae,Charadriiformes,Aves,Chordata,C,MIS,0iMi,Tnsfm,Ms,biO,Dg,O,6.12434973284092,NaN,NaN,NaN,NaN,946.224963273397,NaN,NaN,NaN,7.12909218904614,21.3872765671384,25,NaN,NaN,NaN,635,NaN,NaN,NaN,NaN,NaN,0.0528415566495187,NaN,NaN,NaN,1,1,1,1,1,1,0,1,0.28,314.05,1,NaN,std,2.5
Chionobathyscus_dewitti,53240.7213465411,0.456156672638698,0.0305951674140318,15087.426741886,5234.24344630078,9.43277258160752e-07,5.11496873477408,6.53194329504175,NaN,371068.10480201,0.002,0.95,0.8,0.1,Channichthyidae,Perciformes,Actinopterygii,Chordata,ME,MS,bjMp jiMd,Ms,,biCi,D,O,247.318074010191,NaN,NaN,NaN,NaN,30950.0904047039,NaN,NaN,NaN,NaN,NaN,0.0616,NaN,NaN,212.7,1900,NaN,NaN,NaN,32,60,6.05310025109093,NaN,NaN,NaN,1,1,1,1,0,1,1,1,0.2,273.55,1,NaN,abj,2.5
Chionodraco_hamatus,9361.59553997428,0.491695698593853,0.0265246515993591,2298.52327006823,5230.99522663566,1.67469992467902e-06,8.29893427350153,14.1778118660228,NaN,768334.661907441,0.002,0.95,0.8,0.1,Channichthyidae,Perciformes,Actinopterygii,Chordata,ME,MS,bjMp jiMd,Ms,,biCi,D,O,747.239244895204,NaN,NaN,NaN,NaN,39396.1135225305,NaN,NaN,NaN,NaN,NaN,0.0561,NaN,NaN,286,989.5,NaN,NaN,NaN,35,49.8,1.50834675522031,NaN,NaN,NaN,1,1,1,1,0,1,1,1,0.2,272.05,1,NaN,abj,2.5
Chionodraco_myersi,606.650367210735,0.353544247615193,0.023403809983605,261.61984670345,5227.57745570721,2.8281007695285e-07,59.3255227033281,8697.1028999287,NaN,1714366.77204514,0.002,0.95,0.8,0.1,Channichthyidae,Perciformes,Actinopterygii,Chordata,ME,MS,bjMp jiMd,Ms,,biCi,D,O,690.644021403042,NaN,NaN,NaN,NaN,53382.7202425645,NaN,NaN,NaN,NaN,NaN,0.0335,NaN,NaN,120,405,NaN,NaN,NaN,27.55,39.2,2.09056412810931,NaN,NaN,NaN,1,1,1,1,0,1,1,1,0.2,272.25,1,NaN,abj,2.5
Chionodraco_rastrospinosus,13310.4992363096,0.579225102813727,0.0206848595040542,5617.13242617424,5230.10399102146,9.07346436082818e-07,7.09561082825077,32.4022852888452,NaN,375422.312438884,0.002,0.95,0.8,0.1,Channichthyidae,Perciformes,Actinopterygii,Chordata,ME,MS,bjMp jiMd,Ms,,biCi,D,O,516.279809840374,NaN,NaN,NaN,NaN,33172.8436357081,NaN,NaN,NaN,NaN,NaN,0.0654,NaN,NaN,202,1390,NaN,NaN,NaN,30,52,2.50376485392996,NaN,NaN,NaN,1,1,1,1,0,1,1,1,0.2,272.65,1,NaN,abj,2.5
Chionoecetes_opilio,33.0649518034516,0.70171,0.019714,14.5531,4400,8.561e-08,0.2437,19.35,NaN,10050,0.002,0.95,0.8,0.1,Oregoniidae,Decapoda,Malacostraca,Arthropoda,MC ME,MAN MPN MN,0bMb bjMp jiMb,Mbf,,bjP biD jiCi jiS,D,O,1590.1340666621,NaN,NaN,NaN,NaN,30212.5472665799,NaN,NaN,488.794829870344,NaN,6360.53626664839,0.00018,0.016,NaN,NaN,429.4,NaN,0.319,NaN,NaN,9.5,94.3316687220404,NaN,NaN,NaN,1,1,1,1,0,1,1,1,0.17,278.15,1,316.969,abj,2.5
Chionomesa_fimbriata,33.0047622233674,0.958205438183994,0.032974936455348,19.7964608254518,7322.80130133617,9.45238744270312e-12,119.745454218538,NaN,193.850434485139,380.079912637217,0.000811196975653013,0.95,0.8,0.1,Trochilidae,Apodiformes,Aves,Chordata,Aw Cwa Cwb,TN,0iTf,Tnpf,TT,biCi xiHn,Dg,O,4.16455781833183,NaN,NaN,NaN,NaN,612.24883096133,NaN,NaN,NaN,3.52252752059943,10.5675825617983,0.4,NaN,NaN,NaN,4.7,NaN,NaN,NaN,NaN,NaN,0.0326664568205002,NaN,NaN,NaN,1,1,1,1,1,1,0,1,0.28,311.25,1,NaN,std,2.5
Chirocentrus_dorab,183.360147985928,0.97423,0.0273083176372799,32.2215469473219,5227.13634094966,1.45762458301562e-09,0.00643894626904583,0.0174828535552419,NaN,6070.21146293081,0.00171932962768361,0.95,0.8,0.1,Chirocentridae,Clupeiformes,Actinopterygii,Chordata,MA,MIE MPW,0iMpe,Mpe,Ma,biPz jiCvf,D,O,0.902662041263765,NaN,NaN,NaN,172.129463634951,2677.88296704211,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1200,0.68,NaN,NaN,49.2,100,292.575892838741,NaN,NaN,NaN,1,0,1,1,1,1,1,1,0.2,298.15,1,NaN,abj,2.5
Chirocentrus_nudus,211.467865243861,0.97423,0.0280224238720758,38.5447255154618,5225.56363558265,1.36970516875208e-09,0.00721288889493639,0.0204673512369039,NaN,4298.98942833953,0.00212696258051609,0.95,0.8,0.1,Chirocentridae,Clupeiformes,Actinopterygii,Chordata,MA,MIE MPW,0iMpe,Mpe,Ma,biPz jiCvf,D,O,0.902662041263765,NaN,NaN,NaN,137.703570907961,2677.88296704211,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1200,0.68,NaN,NaN,43.4,100,292.575892838741,NaN,NaN,NaN,1,0,1,1,1,1,1,1,0.2,298.15,1,NaN,abj,2.5
Chirocephalus_carnuntanus,1324.93424302307,0.94791,0.020005,8142.6246,4441.7186,0.0004967,0.0006322,0.001092,NaN,1.801,0.002,0.95,0.8,0.1,Chirocephalidae,Anostraca,Branchiopoda,Arthropoda,B,THp,0iFpe,Fbf,,biPp biD,D,Apf,NaN,NaN,NaN,NaN,NaN,154.011840137767,NaN,NaN,NaN,NaN,144.98777469159,NaN,NaN,NaN,NaN,0.106470588235294,0.14,NaN,NaN,1,2.2,6.24197244496088,NaN,NaN,NaN,1,1,1,0,0,1,1,1,0.17,300.15,1,NaN,abj,2.2
Chirocephalus_diaphanus,264.728401517729,0.99952,0.012146,1145.7083,4438.751,0.001358,9.196e-07,8.619e-06,NaN,0.01408,0.002,0.95,0.8,0.1,Chirocephalidae,Anostraca,Branchiopoda,Arthropoda,A B,TPa THp,0iFpe,Fbf,,biPp biD,D,Apf,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.741176470588235,0.07,NaN,NaN,1.2,4.2,NaN,NaN,NaN,NaN,1,1,1,1,0,1,1,1,0.17,300.15,1,NaN,abj,2.2
Chirocephalus_kerkyrensis,1141.62387278838,0.95507,0.021996,6422.3992,4441.5325,3.753e-05,3.705e-05,4.039e-05,NaN,1.467,0.002,0.95,0.8,0.1,Chirocephalidae,Anostraca,Branchiopoda,Arthropoda,B,THp,0iFpe,Fbf,,biPp biD,D,Apf,NaN,NaN,NaN,NaN,NaN,168.401202837258,NaN,NaN,NaN,NaN,29.1718619088163,NaN,NaN,NaN,NaN,0.0776470588235294,0.07,NaN,NaN,1.033,1.983,NaN,NaN,NaN,NaN,1,1,1,0,0,1,1,1,0.17,300.15,1,NaN,abj,2.2
Chirocephalus_ruffoi,819.821784877456,0.9874,0.03168,4610.3886,4447.4523,0.0003536,3.017e-05,3.3e-05,NaN,0.09731,0.002,0.95,0.8,0.1,Chirocephalidae,Anostraca,Branchiopoda,Arthropoda,B,THp,0iFpe,Fbf,,biPp biD,D,Apf,NaN,NaN,NaN,NaN,NaN,154.011840137767,NaN,NaN,NaN,NaN,11.389818564861,1.55882352941176e-05,NaN,NaN,NaN,0.0447058823529412,0.07,NaN,NaN,0.72,1.65,6.24197244496088,NaN,NaN,NaN,1,1,1,1,0,1,1,1,0.17,300.15,1,NaN,abj,2.2
Chiromantis_petersii,12555.8072294229,0.995015482065003,0.042705070560561,24622.8334857789,7333.25444366142,7.5620052251615e-08,0.00101974240614574,1319.4053207562,NaN,3660.625566241,0.002,0.95,0.8,0.1,Rhacophoridae,Anura,Amphibia,Chordata,Aw Am,TPa,0jFp jiTi,Tnp,,bjHl bjCi,Dg,O,2.53107079219133,NaN,NaN,NaN,NaN,5462.41178462237,NaN,NaN,99.3445285935096,NaN,346.440314681188,0.000523,NaN,NaN,NaN,5.5,0.7,NaN,NaN,5.5,6.5,1.40716879456891,NaN,NaN,NaN,1,1,1,1,0,1,1,1,0.28,298.15,1,0.0379408462234583,std,2.5
Chiromantis_rufescens,44.3119018723317,0.769376384109452,0.025808,17.5085064237086,7322.20162647331,7.72900254084242e-09,19.4487058515147,457.675941992308,NaN,5639.2829135812,0.002,0.95,0.8,0.1,Rhacophoridae,Anura,Amphibia,Chordata,Am Aw,TPa,0jFp jiTf,Tnp,,bjHl bjCi,Dg,O,3.79660618828699,NaN,NaN,NaN,NaN,1385.76125872475,NaN,NaN,NaN,NaN,461.920419574917,0.0109,NaN,NaN,NaN,9.3,0.236,1.8,NaN,4,6,0.640803020295995,NaN,NaN,NaN,1,1,0,1,0,1,1,1,0.28,298.15,1,-2.02946142191283,std,2.5
Chironex_fleckeri,48.2673661616508,0.48861191455499,0.00644641924782702,120.225238435405,521.892657138143,1.84580680430142e-06,0.0794062209281906,5471.11689849155,NaN,6555.2233262938,0.002,0.95,0.8,0.1,Chirodropidae,Chirodropida,Cubozoa,Cnidaria,MC,MAN MAS,0bMp biMb,Mp,,biCik biCvf,D,Aa,14.5304840992676,NaN,NaN,NaN,NaN,96.869893995117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6644.672,0.13,NaN,NaN,5,18.8,330339.991923735,NaN,NaN,NaN,1,1,1,1,0,1,1,1,0.02,301.15,1,NaN,abj,2
Chironomus_riparius,203.223698101094,0.44236,0.0073929,145.1326,4017.7378,1.401e-07,0.002634,NaN,NaN,0.2764,0.035617,0.95,0.8,0.1,Chironomidae,Diptera,Insecta,Arthropoda,Cfb Dfb Dfc,TH,0eFl 0eFp 0eFm eiTg,Fs,,bjD,D,Os,1.85024642627357,NaN,NaN,NaN,NaN,NaN,NaN,NaN,13.8768481970518,NaN,6.47586249195749,NaN,0.01,NaN,NaN,NaN,0.09,1.38,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,1,1,1,1,1,0,1,0.17,293.15,1,NaN,hax,3
Chiropodomys_gliroides,1302.93519232088,0.96261,0.027249,806.6751,7846.3867,8.808e-10,323.4,NaN,2961,20940,0.002,0.95,0.8,0.1,Muridae,Rodentia,Mammalia,Chordata,Aw Cwa Cwb Cfa,TPi,0iTf,Tv,,bxM xiH,Dg,O,NaN,NaN,NaN,NaN,NaN,294.423283310271,4.48132851309393,NaN,NaN,5.37759421571271,22.6307089911243,2.8,NaN,10,NaN,29,NaN,NaN,NaN,NaN,NaN,0.0538000929203258,NaN,NaN,NaN,1,1,1,1,0,1,0,1,0.3,310.15,1,2.5429,stx,2.1
Chiroxiphia_boliviana,1019.56125353043,0.992653918499688,0.0227560733000622,772.024754800131,7321.87517276397,4.62555676590559e-12,34.7900094964707,NaN,474.068614181592,1585.23808074339,0.0020001487118792,0.95,0.8,0.1,Pipridae,Passeriformes,Aves,Chordata,Af Am,TN,0iTf,Tnpf,,biCi biHs,Dg,O,3.47046484860986,NaN,NaN,NaN,NaN,468.816210651183,NaN,NaN,NaN,1.92664196158021,5.77992588474062,1.45,NaN,15,NaN,17.9,NaN,NaN,NaN,NaN,NaN,0.0426606408772002,NaN,NaN,NaN,1,1,1,1,1,1,0,1,0.28,314.15,1,NaN,std,2.2
Chiroxiphia_lanceolata,112.768616722051,0.973969608074496,0.09307,44.24474894214,7300.2837838091,4.03469830788398e-13,434.999795968285,NaN,885.859713021749,2007.97417478238,0.002,0.95,0.8,0.1,Pipridae,Passeriformes,Aves,Chordata,Af Am,TN,0iTf,Tnpf,,biCi biHs,Dg,O,3.47046484860986,NaN,NaN,NaN,NaN,443.899619700011,NaN,NaN,NaN,1.70262867830141,5.10788603490424,2.2,NaN,NaN,NaN,18.5,NaN,NaN,NaN,NaN,NaN,0.0450552312108671,NaN,NaN,NaN,1,1,0,1,0,1,0,1,0.28,314.75,1,NaN,std,2.5
Chitala_chitala,575.699842947323,0.55128,0.02617,25.3731,5228.0312,1.025e-09,30.43,NaN,NaN,1378000,0.002,0.95,0.8,0.1,Notopteridae,Osteoglossiformes,Actinopterygii,Chordata,Am,TPi,0iFr,Fnm,Mp,biCi,D,O,NaN,4.53144851877226,NaN,NaN,NaN,4222.92436430266,NaN,3.47089673778301,NaN,NaN,NaN,0.0477,NaN,NaN,NaN,NaN,1.25,NaN,NaN,75.5,122,NaN,NaN,NaN,NaN,1,1,1,1,0,1,0,1,0.2,299.15,1,NaN,std,2.5
